# FSK Signal Parameters
# Data: 0101
# f0: 1.0Hz
# f1: 3.0Hz
# Sampling Frequency: 10.0Hz
# Number of Points: 32
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.10322581, 0.60406083
0.20645161, 0.96279832
0.30967742, 0.93052070
0.41290323, 0.52033669
0.51612903, -0.10116832
0.61935484, -0.68158649
0.72258065, -0.98519632
0.82580645, 0.14140287
0.92903226, -0.97295824
1.03225806, 0.57126822
1.13548387, 0.55451651
1.23870968, -0.97743968
1.34193548, 0.16143714
1.44516129, 0.85919044
1.54838710, -0.79077574
1.65161290, -0.81493206
1.75483871, -0.99953788
1.85806452, -0.77820779
1.96129032, -0.24082917
2.06451613, 0.39435586
2.16774194, 0.86938367
2.27096774, 0.99133428
2.37419355, 0.71068066
2.47741935, 0.41289933
2.58064516, -0.99871651
2.68387097, 0.31863913
2.78709677, 0.76532017
2.89032258, -0.87921977
2.99354839, -0.12131051
3.09677419, 0.96807712
3.20000000, -0.58778525
