# FSK Signal Parameters
# Data: 101010
# f0: 1.5Hz
# f1: 4.5Hz
# Sampling Frequency: 15.0Hz
# Number of Points: 128
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.06719160, 0.94636545
0.13438320, -0.61153791
0.20157480, -0.55119187
0.26876640, 0.96771610
0.33595801, -0.07414275
0.40314961, -0.91980532
0.47034121, 0.66851761
0.53753281, 0.48781167
0.60472441, -0.98373974
0.67191601, 0.14787737
0.73910761, 0.88818192
0.80629921, -0.72181730
0.87349081, -0.42174621
0.94068241, 0.99434816
1.00787402, -0.22079796
1.07506562, -0.85166932
1.14225722, 0.77114358
1.20944882, 0.35335914
1.27664042, -0.99948297
1.34383202, 0.29250312
1.41102362, 0.66851761
1.47821522, 0.97899647
1.54540682, 0.90981874
1.61259843, 0.48781167
1.67979003, -0.12336964
1.74698163, -0.68670798
1.81417323, -0.98373974
1.88136483, -0.89927546
1.94855643, -0.46607054
2.01574803, 0.14787737
2.08293963, 0.70447817
2.15013123, 0.98788107
2.21732283, 0.88818192
2.28451444, 0.44404422
2.35170604, -0.17229462
2.41889764, -0.72181730
2.48608924, -0.99141793
2.55328084, -0.87654492
2.62047244, -0.42174621
2.68766404, 0.19660644
2.75485564, 0.73871476
2.82204724, -0.94951606
2.88923885, 0.00989462
2.95643045, 0.94312219
3.02362205, -0.61933675
3.09081365, -0.54290903
3.15800525, 0.97016259
3.22519685, -0.08400651
3.29238845, -0.91587789
3.35958005, 0.67584347
3.42677165, 0.47915030
3.49396325, -0.98546865
3.56115486, 0.15765596
3.62834646, 0.88359194
3.69553806, -0.72862987
3.76272966, -0.41275397
3.82992126, 0.99534998
3.89711286, -0.23043757
3.96430446, -0.84644206
4.03149606, 0.77740535
4.09868766, 0.34408555
4.16587927, -0.99975218
4.23307087, 0.81046852
4.30026247, 0.30666343
4.36745407, -0.31606629
4.43464567, -0.81622494
4.50183727, -0.99985008
4.56902887, -0.79573158
4.63622047, -0.28302693
4.70341207, 0.33943606
4.77060367, 0.83026514
4.83779528, 0.99911591
4.90498688, 0.78050773
4.97217848, 0.25921726
5.03937008, -0.36259814
5.10656168, -0.84379732
5.17375328, -0.99777039
5.24094488, -0.76480631
5.30813648, -0.23524897
5.37532808, 0.38553834
5.44251969, 0.85681320
5.50971129, 0.99581435
5.57690289, 0.74863692
5.64409449, 0.59576139
5.71128609, -0.95257370
5.77847769, 0.01978827
5.84566929, 0.93978659
5.91286089, -0.62707495
5.98005249, -0.53457304
6.04724409, 0.97251410
6.11443570, -0.09386204
6.18162730, -0.91186079
6.24881890, 0.68310317
6.31601050, 0.47044201
6.38320210, -0.98710109
6.45039370, 0.16741912
6.51758530, 0.87891546
6.58477690, -0.73537110
6.65196850, -0.40372133
6.71916010, 0.99625435
6.78635171, -0.24005461
6.85354331, -0.84113193
6.92073491, 0.78359101
6.98792651, 0.33477827
7.05511811, -0.49642529
7.12230971, -0.91388053
7.18950131, -0.97693126
7.25669291, -0.66112629
7.32388451, -0.08893536
7.39107612, 0.51774486
7.45826772, 0.92364270
7.52545932, 0.97135024
7.59265092, 0.64236641
7.65984252, 0.06427174
7.72703412, -0.53874763
7.79422572, -0.93283970
7.86141732, -0.96517486
7.92860892, -0.62321348
7.99580052, -0.03956879
8.06299213, 0.55942075
8.13018373, 0.94146591
8.19737533, 0.95840891
8.26456693, 0.60367921
8.33175853, 0.01484163
8.39895013, -0.57975156
8.46614173, -0.94951606
8.53333333, -0.95105652
