# FSK Signal Parameters
# Data: 0101
# f0: 1.0Hz
# f1: 3.0Hz
# Sampling Frequency: 10.0Hz
# Number of Points: 16
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.10666667, 0.62114778
0.21333333, 0.97357890
0.32000000, 0.90482705
0.42666667, 0.98228725
0.53333333, -0.58778525
0.64000000, -0.48175367
0.74666667, 0.99802673
0.85333333, -0.79652992
0.96000000, -0.24868989
1.06666667, 0.40673664
1.17333333, 0.88620358
1.28000000, -0.84432793
1.38666667, 0.84432793
1.49333333, 0.12533323
1.60000000, -0.95105652
