# FSK Signal Parameters
# Data: 01000100
# f0: 2.0Hz
# f1: 5.0Hz
# Sampling Frequency: 20.0Hz
# Number of Points: 128
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.05039370, 0.59178057
0.10078740, 0.95406756
0.15118110, 0.94636545
0.20157480, 0.57166111
0.25196850, -0.02473443
0.30236220, -0.61153791
0.35275591, -0.96118590
0.40314961, -0.93808427
0.45354331, -0.55119187
0.50393701, 0.04945372
0.55433071, 0.63092107
0.60472441, 0.96771610
0.65511811, 0.92922909
0.70551181, 0.53038536
0.75590551, -0.07414275
0.80629921, 0.19660644
0.85669291, 0.97797583
0.90708661, -0.22079796
0.95748031, -0.97251410
1.00787402, 0.24485438
1.05826772, 0.96645731
1.10866142, -0.26876098
1.15905512, -0.95980915
1.20944882, 0.29250312
1.25984252, 0.95257370
1.31023622, -0.31606629
1.36062992, -0.94475538
1.41102362, 0.33943606
1.46141732, 0.93635898
1.51181102, -0.36259814
1.56220472, -0.92738964
1.61259843, 0.98788107
1.66299213, 0.88818192
1.71338583, 0.44404422
1.76377953, -0.17229462
1.81417323, -0.72181730
1.86456693, -0.99141793
1.91496063, -0.87654492
1.96535433, -0.42174621
2.01574803, 0.19660644
2.06614173, 0.73871476
2.11653543, 0.99434816
2.16692913, 0.86437157
2.21732283, 0.39919013
2.26771654, -0.22079796
2.31811024, -0.75516020
2.36850394, -0.99666996
2.41889764, -0.85166932
2.46929134, -0.37638979
2.51968504, 0.24485438
2.57007874, 0.77114358
2.62047244, 0.99838192
2.67086614, 0.83844595
2.72125984, 0.35335914
2.77165354, -0.26876098
2.82204724, -0.78665511
2.87244094, -0.99948297
2.92283465, -0.82470955
2.97322835, -0.33011228
3.02362205, 0.29250312
3.07401575, 0.80168529
3.12440945, 0.99997246
3.17480315, 0.81046852
3.22519685, 0.30666343
3.27559055, -0.31606629
3.32598425, -0.81622494
3.37637795, -0.99985008
3.42677165, -0.79573158
3.47716535, -0.28302693
3.52755906, 0.33943606
3.57795276, 0.83026514
3.62834646, 0.99911591
3.67874016, 0.78050773
3.72913386, 0.25921726
3.77952756, -0.36259814
3.82992126, -0.84379732
3.88031496, -0.99777039
3.93070866, -0.76480631
3.98110236, -0.23524897
4.03149606, 0.83573945
4.08188976, 0.53874763
4.13228346, -0.84906608
4.18267717, -0.51774486
4.23307087, 0.86187318
4.28346457, 0.49642529
4.33385827, -0.87415292
4.38425197, -0.47480196
4.43464567, 0.88589777
4.48503937, 0.45288811
4.53543307, -0.89710056
4.58582677, -0.43069715
4.63622047, 0.90775442
4.68661417, 0.40824264
4.73700787, -0.91785284
4.78740157, -0.38553834
4.83779528, -0.89268494
4.88818898, -0.98629694
4.93858268, -0.69742122
4.98897638, -0.13808430
5.03937008, 0.47480196
5.08976378, 0.90355917
5.14015748, 0.98191451
5.19055118, 0.67948164
5.24094488, 0.11354457
5.29133858, -0.49642529
5.34173228, -0.91388053
5.39212598, -0.97693126
5.44251969, -0.66112629
5.49291339, -0.08893536
5.54330709, 0.51774486
5.59370079, 0.92364270
5.64409449, 0.97135024
5.69448819, 0.64236641
5.74488189, 0.06427174
5.79527559, -0.53874763
5.84566929, -0.93283970
5.89606299, -0.96517486
5.94645669, -0.62321348
5.99685039, -0.03956879
6.04724409, 0.55942075
6.09763780, 0.94146591
6.14803150, 0.95840891
6.19842520, 0.60367921
6.24881890, 0.01484163
6.29921260, -0.57975156
6.34960630, -0.94951606
6.40000000, -0.95105652
