# FSK Signal Parameters
# Data: 101010
# f0: 1.5Hz
# f1: 4.5Hz
# Sampling Frequency: 15.0Hz
# Number of Points: 64
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.06772487, 0.94138647
0.13544974, -0.63511577
0.20317460, -0.51289928
0.27089947, 0.98114838
0.33862434, -0.14904227
0.40634921, -0.88059553
0.47407407, 0.74314483
0.54179894, 0.37922546
0.60952381, -0.99899307
0.67724868, 0.09956785
0.74497354, 0.67282808
0.81269841, 0.98114838
0.88042328, 0.90312129
0.94814815, 0.46947156
1.01587302, -0.14904227
1.08359788, -0.70886763
1.15132275, -0.98956175
1.21904762, -0.88059553
1.28677249, -0.42487667
1.35449735, 0.56332006
1.42222222, 0.58778525
1.48994709, -0.95987524
1.55767196, 0.05980415
1.62539683, 0.91952777
1.69312169, -0.68017274
1.76084656, -0.46064245
1.82857143, 0.99094976
1.89629630, -0.20791169
1.96402116, -0.85068007
2.03174603, 0.29475517
2.09947090, 0.80607587
2.16719577, 0.99998757
2.23492063, 0.80013355
2.30264550, 0.28521045
2.37037037, -0.34202014
2.43809524, -0.83457325
2.50582011, -0.99849594
2.57354497, -0.76924027
2.64126984, -0.23708038
2.70899471, 0.93087375
2.77671958, 0.02991547
2.84444444, -0.95105652
2.91216931, 0.61172430
2.97989418, 0.53835062
3.04761905, -0.97492791
3.11534392, 0.11939422
3.18306878, 0.89437741
3.25079365, -0.72279486
3.31851852, -0.40673664
3.38624339, 0.47825398
3.45396825, 0.90735869
3.52169312, 0.97917222
3.58941799, 0.66541650
3.65714286, 0.08963931
3.72486772, -0.52143520
3.79259259, -0.92718385
3.86031746, -0.96783475
3.92804233, -0.62738076
3.99576720, -0.03988266
4.06349206, 0.56332006
4.13121693, 0.94470389
4.19894180, 0.95409109
4.26666667, 0.58778525
