# FSK Signal Parameters
# Data: 101010
# f0: 1.5Hz
# f1: 4.5Hz
# Sampling Frequency: 15.0Hz
# Number of Points: 16
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.07111111, 0.90482705
0.14222222, 0.97357890
0.21333333, 0.90482705
0.28444444, 0.98228725
0.35555556, -0.58778525
0.42666667, -0.77051324
0.49777778, -0.99978068
0.56888889, -0.36812455
0.64000000, -0.68454711
0.71111111, 0.40673664
0.78222222, 0.88620358
0.85333333, 0.98228725
0.92444444, 0.65342060
0.99555556, 0.04187565
1.06666667, -0.58778525
