# FSK Signal Parameters
# Data: 0101
# f0: 1.0Hz
# f1: 3.0Hz
# Sampling Frequency: 10.0Hz
# Number of Points: 64
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.10158730, 0.59582446
0.20317460, 0.95703076
0.30476190, 0.94138647
0.40634921, 0.55505184
0.50793651, -0.04984589
0.60952381, -0.63511577
0.71111111, -0.97029573
0.81269841, -0.92340174
0.91428571, -0.51289928
1.01587302, 0.09956785
1.11746032, 0.67282808
1.21904762, 0.98114838
1.32063492, 0.90312129
1.42222222, 0.46947156
1.52380952, -0.14904227
1.62539683, -0.70179790
1.72698413, 0.90735869
1.82857143, 0.08963931
1.93015873, -0.96783475
2.03174603, 0.56332006
2.13333333, 0.58778525
2.23492063, -0.95987524
2.33650794, 0.05980415
2.43809524, 0.91952777
2.53968254, -0.68017274
2.64126984, -0.46064245
2.74285714, 0.99094976
2.84444444, -0.20791169
2.94603175, -0.85068007
3.04761905, 0.78183148
3.14920635, 0.32320966
3.25079365, 0.99998757
3.35238095, 0.80013355
3.45396825, 0.28521045
3.55555556, -0.34202014
3.65714286, -0.83457325
3.75873016, -0.99849594
3.86031746, -0.76924027
3.96190476, -0.23708038
4.06349206, 0.38843480
4.16507937, 0.86099576
4.26666667, 0.99452190
4.36825397, 0.73643453
4.46984127, 0.18836089
4.57142857, -0.43388374
4.67301587, -0.88527770
4.77460317, -0.98807531
4.87619048, -0.72279486
4.97777778, -0.40673664
5.07936508, 0.99720380
5.18095238, -0.26603685
5.28253968, -0.81771939
5.38412698, 0.81771939
5.48571429, 0.26603685
5.58730159, -0.99720380
5.68888889, 0.40673664
5.79047619, 0.72279486
5.89206349, -0.89437741
5.99365079, -0.11939422
6.09523810, 0.97492791
6.19682540, -0.53835062
6.29841270, -0.61172430
6.40000000, 0.95105652
