# FSK Signal Parameters
# Data: 0101
# f0: 1.0Hz
# f1: 3.0Hz
# Sampling Frequency: 10.0Hz
# Number of Points: 128
# Time (s), Signal Amplitude
0.00000000, 0.00000000
0.10078740, 0.59178057
0.20157480, 0.95406756
0.30236220, 0.94636545
0.40314961, 0.57166111
0.50393701, -0.02473443
0.60472441, -0.61153791
0.70551181, -0.96118590
0.80629921, -0.93808427
0.90708661, -0.55119187
1.00787402, 0.04945372
1.10866142, 0.63092107
1.20944882, 0.96771610
1.31023622, 0.92922909
1.41102362, 0.53038536
1.51181102, -0.07414275
1.61259843, -0.64991818
1.71338583, -0.97365417
1.81417323, -0.91980532
1.91496063, -0.50925432
2.01574803, 0.09878642
2.11653543, 0.66851761
2.21732283, 0.97899647
2.31811024, 0.90981874
2.41889764, 0.48781167
2.51968504, -0.12336964
2.62047244, -0.68670798
2.72125984, -0.98373974
2.82204724, -0.89927546
2.92283465, -0.46607054
3.02362205, 0.14787737
3.12440945, 0.70447817
3.22519685, -0.89268494
3.32598425, -0.13808430
3.42677165, 0.98191451
3.52755906, -0.49642529
3.62834646, -0.66112629
3.72913386, 0.92364270
3.82992126, 0.06427174
3.93070866, -0.96517486
4.03149606, 0.55942075
4.13228346, 0.60367921
4.23307087, -0.94951606
4.33385827, 0.00989462
4.43464567, 0.94312219
4.53543307, -0.61933675
4.63622047, -0.54290903
4.73700787, 0.97016259
4.83779528, -0.08400651
4.93858268, -0.91587789
5.03937008, 0.67584347
5.14015748, 0.47915030
5.24094488, -0.98546865
5.34173228, 0.15765596
5.44251969, 0.88359194
5.54330709, -0.72862987
5.64409449, -0.41275397
5.74488189, 0.99534998
5.84566929, -0.23043757
5.94645669, -0.84644206
6.04724409, 0.77740535
6.14803150, 0.34408555
6.24881890, -0.99975218
6.34960630, 0.30195068
6.45039370, 0.30666343
6.55118110, -0.31606629
6.65196850, -0.81622494
6.75275591, -0.99985008
6.85354331, -0.79573158
6.95433071, -0.28302693
7.05511811, 0.33943606
7.15590551, 0.83026514
7.25669291, 0.99911591
7.35748031, 0.78050773
7.45826772, 0.25921726
7.55905512, -0.36259814
7.65984252, -0.84379732
7.76062992, -0.99777039
7.86141732, -0.76480631
7.96220472, -0.23524897
8.06299213, 0.38553834
8.16377953, 0.85681320
8.26456693, 0.99581435
8.36535433, 0.74863692
8.46614173, 0.21113674
8.56692913, -0.40824264
8.66771654, -0.86930480
8.76850394, -0.99324899
8.86929134, -0.73200944
8.97007874, -0.18689532
9.07086614, 0.43069715
9.17165354, 0.88126448
9.27244094, 0.99007587
9.37322835, 0.71493406
9.47401575, 0.16253953
9.57480315, -0.45288811
9.67559055, 0.16741912
9.77637795, 0.87891546
9.87716535, -0.73537110
9.97795276, -0.40372133
10.07874016, 0.99625435
10.17952756, -0.24005461
10.28031496, -0.84113193
10.38110236, 0.78359101
10.48188976, 0.33477827
10.58267717, -0.99992351
10.68346457, 0.31136867
10.78425197, 0.79871821
10.88503937, -0.82749747
10.98582677, -0.26399235
11.08661417, 0.99808837
11.18740157, -0.38096873
11.28818898, -0.75190776
11.38897638, 0.86684879
11.48976378, 0.19175322
11.59055118, -0.99075903
11.69133858, 0.44847166
11.79212598, 0.70095827
11.89291339, -0.90142835
11.99370079, -0.11845855
12.09448819, 0.97797583
12.19527559, -0.51350588
12.29606299, -0.64615020
12.39685039, 0.93104579
12.49763780, 0.04451180
12.59842520, -0.95980915
12.69921260, 0.57571338
12.80000000, 0.58778525
