故障类型,故障描述,故障位置,输入电压(V),发送端轨面电压(V),接收端轨面电压(V),主轨入电压(V),轨出1电压(V),发送端轨面电流(A),接收端轨面电流(A),主轨入电流(A),轨出1电流(A),频率(Hz),补偿电容(uF),变压器变比,变压器输入阻抗(Ω)
2,发送端调谐单元1断路,69G,150.0,2459.5431620719223,290149089844.4592,4438116412150.243,4438116412150.243,0.03070396361888422,8362884.503897633,6951182042.701105,6951182042.701105,1700,5.5e-05,12,36
3,接收端空心线圈断路,69G,100.0,18.687841317875705,13412719.447795257,580259376.6010082,1520.1971758462846,1.1051915966888937,7914121.934478857,842157.6093391395,2.3848671513635566,1700,5.5e-05,12,36
3,接收端空心线圈断路,69G,110.0,20.55662544966328,14753991.392574785,638285314.261109,1672.2168934309132,1.2157107563577831,8705534.127926743,926373.3702730534,2.623353866499913,1700,5.5e-05,12,36
3,接收端空心线圈断路,69G,120.0,22.42540958145085,16095263.337354314,696311251.9212098,1824.2366110155417,1.3262299160266726,9496946.32137463,1010589.1312069676,2.861840581636268,1700,5.5e-05,12,36
3,接收端空心线圈断路,69G,130.0,24.29419371323842,17436535.282133836,754337189.5813104,1976.25632860017,1.4367490756955619,10288358.514822515,1094804.8921408814,3.100327296772624,1700,5.5e-05,12,36
3,接收端空心线圈断路,69G,140.0,26.162977845025992,18777807.226913363,812363127.2414116,2128.276046184799,1.5472682353644513,11079770.708270403,1179020.6530747956,3.3388140119089798,1700,5.5e-05,12,36
3,接收端空心线圈断路,69G,150.0,28.031761976813556,20119079.17169289,870389064.9015117,2280.295763769427,1.6577873950333404,11871182.901718283,1263236.4140087087,3.577300727045335,1700,5.5e-05,12,36
4,接收端空芯线圈短路,69G,100.0,18.687841568470112,13412719.627652977,580259384.3819898,1520.1971755808245,1.1051916115089486,7914122.04060319,842157.6206320431,2.384867151103979,1700,5.5e-05,12,36
4,接收端空芯线圈短路,69G,110.0,20.556625725317126,14753991.590418274,638285322.820189,1672.216893138907,1.2157107726598433,8705534.24466351,926373.3826952475,2.6233538662143765,1700,5.5e-05,12,36
4,接收端空芯线圈短路,69G,120.0,22.425409882164136,16095263.553183567,696311261.2583877,1824.2366106969896,1.3262299338107382,9496946.448723827,1010589.1447584516,2.861840581324775,1700,5.5e-05,12,36
4,接收端空芯线圈短路,69G,130.0,24.294194039011153,17436535.51594887,754337199.6965867,1976.2563282550718,1.436749094961633,10288358.652784146,1094804.906821656,3.100327296435173,1700,5.5e-05,12,36
4,接收端空芯线圈短路,69G,140.0,26.16297819585816,18777807.478714168,812363138.1347858,2128.2760458131547,1.547268256112528,11079770.856844466,1179020.6688848604,3.3388140115455704,1700,5.5e-05,12,36
4,接收端空芯线圈短路,69G,150.0,28.03176235270517,20119079.441479463,870389076.5729845,2280.2957633712367,1.6577874172634224,11871183.060904782,1263236.4309480642,3.5773007266559684,1700,5.5e-05,12,36
