voltage,section_id,error_type,track_length,send_end_track_voltage,receive_end_track_voltage,main_track_input_voltage,main_track_output_voltage_1,input_impedance,input_current,timestamp
128,69G,0,1200,24.409950615795765,5.013835239793129e-51,7.275919818465989e-50,1944.6767723682863,932.2763064052011,0.13729835148718944,2026-04-28T00:42:15.471Z
128.5,69G,0,1200,24.50530198538872,5.0334205336985716e-51,7.304341380256873e-50,1952.27316601035,932.2763064052011,0.13783467317268627,2026-04-28T00:42:17.483Z
129,69G,0,1200,24.60065335498167,5.053005827604013e-51,7.332762942047754e-50,1959.8695596524135,932.2763064052011,0.13837099485818313,2026-04-28T00:42:19.497Z
129.5,69G,0,1200,24.696004724574625,5.0725911215094554e-51,7.361184503838638e-50,1967.465953294477,932.2763064052011,0.13890731654367994,2026-04-28T00:42:21.511Z
